coc_number,coc_name,total_homeless,chronically_homeless,sheltered_homeless,unsheltered_homeless,homeless_veterans,homeless_people_in_families,homeless_unaccompanied_youth,value
OH-504,Youngstown/Mahoning County CoC,346,43,308,38,30,129,13,13451338
OH-505,Dayton/Kettering/Montgomery County CoC,751,56,708,43,60,196,100,46749492
OH-506,Akron/Barberton/Summit County CoC,679,45,592,87,67,209,68,29194550
OH-507,Ohio Balance of State CoC,3032,182,2587,445,207,1357,120,198795526
OH-508,Canton/Massillon/Alliance/Stark County CoC,460,44,423,37,16,286,10,6907964
OK-500,North Central Oklahoma CoC,129,12,78,51,9,56,9,16540210
OK-501,Tulsa City & County/Broken Arrow CoC,1043,118,893,150,108,277,88,24957438
OK-502,Oklahoma City CoC,1511,320,1204,307,157,309,118,34720915
OK-503,Oklahoma Balance of State CoC,295,71,114,181,3,142,37,12017576
OK-504,Norman/Cleveland County CoC,138,60,92,46,12,20,10,9831375
OK-505,Northeast Oklahoma CoC,368,35,342,26,17,131,36,29049868
OK-506,Southwest Oklahoma Regional CoC,187,15,147,40,33,84,13,14694092
OK-507,Southeastern Oklahoma Regional CoC,436,65,217,219,19,91,99,55901001
OR-500,Eugene/Springfield/Lane County CoC,1451,574,517,934,162,224,114,14792887
OR-501,Portland-Gresham-Multnomah County CoC,3914,1053,2027,1887,420,705,284,85203114
OR-502,Medford/Ashland/Jackson County CoC,527,184,288,239,76,80,69,18739971
OR-503,Central Oregon CoC,602,218,197,405,62,216,47,9882502
OR-505,Oregon Balance of State CoC,5710,1078,1859,3851,525,2281,601,69382909
OR-506,Hillsboro/Beaverton/Washington County CoC,571,142,193,378,63,188,37,54690045
OR-507,Clackamas County CoC,463,211,155,308,33,165,23,3836732
PA-500,Philadelphia CoC,6112,853,5407,705,293,2682,282,123740380
PA-501,Harrisburg/Dauphin County CoC,433,42,390,43,50,198,18,39572130
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,406,26,371,35,8,159,12,13252191
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,169,2,160,9,16,60,12,14838382
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,398,17,378,20,9,235,15,8484490
PA-505,Chester County CoC,558,7,553,5,231,173,11,8291536
PA-506,Reading/Berks County CoC,521,19,518,3,29,165,33,9981779
PA-508,Scranton/Lackawanna County CoC,242,13,231,11,36,126,13,11246230
PA-509,Eastern Pennsylvania CoC,2599,159,1996,603,111,1208,209,63744957
PA-510,Lancaster City & County CoC,356,6,349,7,17,194,6,11288636
PA-511,Bristol/Bensalem/Bucks County CoC,530,22,500,30,13,330,22,4758206
PA-512,York City & County CoC,365,14,294,71,13,201,33,7987511
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,1156,94,1108,48,167,401,110,65538364
PA-601,Western Pennsylvania CoC,986,32,917,69,119,415,62,69788079
PA-603,Beaver County CoC,131,8,125,6,1,73,1,5896953
PA-605,Erie City & County CoC,377,11,367,10,23,120,29,14125343
PR-502,Puerto Rico Balance of Commonwealth CoC,2343,881,789,1554,79,297,97,202103169
PR-503,South/Southeast Puerto Rico CoC,2075,891,532,1543,67,322,66,121438776
RI-500,Rhode Island Statewide CoC,1160,144,1123,37,89,301,64,63794173
SC-500,Charleston/Low Country CoC,550,142,287,263,142,31,34,40788964
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,1829,304,1569,260,141,642,67,55747287
SC-502,Columbia/Midlands CoC,1350,313,1015,335,224,263,64,59340748
