COC_Number,COC_Name,amount
MN-511,Southwest Minnesota CoC,5818816
MI-513,"Marquette, Alger Counties CoC",5682441
MI-515,Monroe City & County CoC,5536249
NJ-515,Elizabeth/Union County CoC,5503222
CA-527,Tehama County CoC,5152091
WI-502,Racine City & County CoC,5113495
ME-502,Portland CoC,5095060
NH-502,Nashua/Hillsborough County CoC,5077529.53
VA-507,Portsmouth CoC,5015661
PA-511,Bristol/Bensalem/Bucks County CoC,4758206
VA-504,Charlottesville CoC,4744915
TX-701,Bryan/College Station/Brazos Valley CoC,4739747
CA-615,"Inyo, Mono, Alpine Counties CoC",4711860
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",4676482.94
NY-506,"Fulton, Montgomery, Schoharie Counties CoC",4646017
MI-519,Holland/Ottawa County CoC,4449601
MD-511,Mid-Shore Regional CoC,4361197
NY-516,Clinton County CoC,4207451
MI-511,Lenawee County CoC,4187450
MD-500,Cumberland/Allegany County CoC,4060573
FL-514,Ocala/Marion County CoC,3872192
OR-507,Clackamas County CoC,3836732
MI-507,Portage/Kalamazoo City & County CoC,3758322
NY-608,Kingston/Ulster County CoC,3744998.65
MD-504,Howard County CoC,3712383
MD-509,Frederick City & County CoC,3632614.33
VA-502,Roanoke City & County/Salem CoC,3564427.42
VA-508,Lynchburg CoC,3373998
MI-523,Eaton County CoC,3358086
VA-604,Prince William County CoC,3306029
NY-520,Franklin County CoC,3280996
NJ-513,Somerset County CoC,3250657
NY-519,Columbia/Greene County CoC,3194427.26
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",3145966
CA-523,"Colusa, Glenn, Trinity Counties CoC",2810079
FL-602,Punta Gorda/Charlotte County CoC,2727137
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",2606425
MD-510,Garrett County CoC,2489914
MD-506,Carroll County CoC,2426415
VA-600,Arlington County CoC,2310679
CA-518,Vallejo/Solano County CoC,2189345
VA-602,Loudoun County CoC,2132861
CA-519,Chico/Paradise/Butte County CoC,2003310
NY-504,Cattaragus County CoC,1811663
MI-518,Livingston County CoC,1709038
GA-506,Marietta/Cobb County CoC,1656929
VA-513,"Harrisburg, Winchester/Western Virginia CoC",1515410
VA-503,Virginia Beach CoC,1433825
MA-517,Somerville CoC,1408762
MD-502,Harford County CoC,1391067
MD-507,Cecil County CoC,1240507
CA-529,Lake County CoC,1155558
MD-508,"Charles, Calvert, St.Mary's Counties CoC",1062376
FL-512,Saint Johns County CoC,1018127
IL-509,Dekalb City & County CoC,726104
NY-510,Ithaca/Tompkins County CoC,596898
MI-514,Battle Creek/Calhoun County CoC,501118
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",444933
NJ-502,Burlington County CoC,400000
IL-500,McHenry County CoC,266539
